code,scientificName,gbifKey,confidence,note
ALL_GAL,,,0,no-match
ARR_CAE,,,0,no-match
BOU_ARV,,,0,no-match
BOU_HOR,,,0,no-match
BRA_PAR,,,0,no-match
CER_BEN,,,0,no-match
CER_DEN,,,0,no-match
CER_GIB,,,0,no-match
COE_TEN,,,0,no-match
CRY_BIP,,,0,no-match
CRY_SCA,,,0,no-match
CRY_THE,,,0,no-match
CYP_ALB,,,0,no-match
CYP_BID,,,0,no-match
DES_OLI,,,0,no-match
DES_TIG,,,0,no-match
DES_VIO,,,0,no-match
DES_X,,,0,pattern-mismatch
DET_JUB,,,0,no-match
DEU_INE,,,0,no-match
DEU_SCO,,,0,no-match
DEUS_PAP,,,0,pattern-mismatch
DEUT_X,,,0,pattern-mismatch
DIC_MIN,,,0,no-match
ENT_LAN,,,0,no-match
ENT_MUL,,,0,no-match
ENT_NIV,,,0,no-match
ENT_UNO,,,0,no-match
ENT_X,,,0,pattern-mismatch
FODES_PAR,,,0,pattern-mismatch
FOL_AGR,,,0,no-match
FOL_CAN,,,0,no-match
FOL_FIM,,,0,no-match
FOL_INO,,,0,no-match
FOL_QUA,,,0,no-match
FOL_SET,,,0,no-match
FOL_SEX,,,0,no-match
FOL_SIM,,,0,no-match
FOL_SPI,,,0,no-match
FRI_CLA,,,0,no-match
FRI_MIR,,,0,no-match
FRI_TRU,,,0,no-match
FRI_X,,,0,pattern-mismatch
HET_MAJ,,,0,no-match
HET_NIT,,,0,no-match
HYP_ASS,,,0,no-match
HYP_MAN,,,0,no-match
HYP_MER,,,0,no-match
HYP_PUR,,,0,no-match
HYP_SAH,,,0,no-match
HYP_VER,,,0,no-match
HYP_X,,,0,pattern-mismatch
ISA_ANG,,,0,no-match
ISA_VIR,,,0,no-match
ISO_MIN,,,0,no-match
ISODES_PRO,,,0,pattern-mismatch
ISODES_TRI,,,0,pattern-mismatch
ISU_ANT,,,0,no-match
ISU_PAL,,,0,no-match
ISU_PLU,,,0,no-match
ISU_PRA,,,0,no-match
ISU_X,,,0,pattern-mismatch
LEP_CUR,,,0,no-match
LEP_CYA,,,0,no-match
LEP_LAN,,,0,no-match
LEP_LIG,,,0,no-match
LEP_VIO,,,0,no-match
MEGX_MIN,,,0,pattern-mismatch
MES_FLO,,,0,no-match
MES_HYL,,,0,no-match
MES_ITA,,,0,no-match
MES_KRA,,,0,no-match
MES_MAC,,,0,no-match
MES_SYL,,,0,no-match
MES_X,,,0,pattern-mismatch
MET_AFF,,,0,no-match
MIC_SEN,,,0,no-match
MON_GRA,,,0,no-match
MUCRO_GAR,,,0,pattern-mismatch
NEA_MUS,,,0,no-match
NEE_MUR,,,0,no-match
NTUL_RAM,,,0,pattern-mismatch
ONC_CRA,,,0,no-match
ORC_QUI,,,0,no-match
ORC_VIL,,,0,no-match
ORC_X,,,0,pattern-mismatch
PAR_NOT,,,0,no-match
PRO_ADM,,,0,no-match
PRO_MIN,,,0,no-match
PRO_MIT,,,0,no-match
PROC_STU,,,0,pattern-mismatch
PROT_ARM,,,0,pattern-mismatch
PROT_SUB,,,0,pattern-mismatch
PSE_ALB,,,0,no-match
PSE_IMM,,,0,no-match
PSE_OCT,,,0,no-match
PSE_PET,,,0,no-match
PSE_SEX,,,0,no-match
PTUL_CAL,,,0,pattern-mismatch
PTUL_MAC,,,0,pattern-mismatch
SCH_UNU,,,0,no-match
SEI_FER,,,0,no-match
SMI_MULF,,,0,no-match
SMI_MULP,,,0,no-match
SMI_VIR,,,0,no-match
SMIDES_ASS,,,0,pattern-mismatch
SMIDES_MAL,,,0,pattern-mismatch
SMIDES_PAR,,,0,pattern-mismatch
SMIDES_SCH,,,0,pattern-mismatch
SMIDES_SEX,,,0,pattern-mismatch
SMIDES_SIG,,,0,pattern-mismatch
SMINUS_AUR,,,0,pattern-mismatch
SMINUS_ELE,,,0,pattern-mismatch
SMINUS_NIG,,,0,pattern-mismatch
SMINUS_X,,,0,pattern-mismatch
SPH_PUM,,,0,no-match
STE_VIO,,,0,no-match
STERAL_DEN,,,0,pattern-mismatch
STERAL_QUA,,,0,pattern-mismatch
SUPRA_LAM,,,0,pattern-mismatch
THA_DEB,,,0,no-match
TOM_MIN,,,0,no-match
TOM_VUL,,,0,no-match
TRI_INT,,,0,no-match
WIL_SCA,,,0,no-match
XDES_ARM,,,0,pattern-mismatch
XEN_HUM,,,0,no-match
XEN_WEL,,,0,no-match
XEN_X,,,0,pattern-mismatch
